uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_em_right,0.868559725,em,right,app,0.868559725,TRUE,em,fiber tracts,app,em_right
app_ENTl_left,1.078655224,ENTl,left,app,1,FALSE,ENT,HPF,app,ENTl_left
app_ENTl_right,1.014487891,ENTl,right,app,1,FALSE,ENT,HPF,app,ENTl_right
app_ENTm_left,1.030471319,ENTm,left,app,1,FALSE,ENT,HPF,app,ENTm_left
app_ENTm_right,1.002339734,ENTm,right,app,1,FALSE,ENT,HPF,app,ENTm_right
app_EP_left,0.905018916,EP,left,app,0.905018916,FALSE,EP,CTXsp,app,EP_left
app_EP_right,0.882760092,EP,right,app,0.882760092,FALSE,EP,CTXsp,app,EP_right
app_Eth_left,0.714621873,Eth,left,app,0.714621873,FALSE,Eth,TH,app,Eth_left
app_Eth_right,0.852884609,Eth,right,app,0.852884609,FALSE,Eth,TH,app,Eth_right
app_EW_left,-0.190329171,EW,left,app,0,FALSE,EW,MB,app,EW_left
app_EW_right,0.258897215,EW,right,app,0.258897215,FALSE,EW,MB,app,EW_right
app_FC_left,0.794411715,FC,left,app,0.794411715,FALSE,FC,HPF,app,FC_left
app_FC_right,0.804851865,FC,right,app,0.804851865,FALSE,FC,HPF,app,FC_right
app_FF_left,0.498572318,FF,left,app,0.498572318,FALSE,FF,HY,app,FF_left
app_FF_right,0.190131029,FF,right,app,0.190131029,FALSE,FF,HY,app,FF_right
app_fi_left,0.467450371,fi,left,app,0.467450371,TRUE,fi,fiber tracts,app,fi_left
app_fi_right,0.376432766,fi,right,app,0.376432766,TRUE,fi,fiber tracts,app,fi_right
app_fiber tracts_left,0.47914392,fiber tracts,left,app,0.47914392,TRUE,fiber tracts,fiber tracts,app,fiber tracts_left
app_fiber tracts_right,0.401305785,fiber tracts,right,app,0.401305785,TRUE,fiber tracts,fiber tracts,app,fiber tracts_right
app_fr_left,-0.057250643,fr,left,app,0,TRUE,fr,fiber tracts,app,fr_left
app_fr_right,-0.003246944,fr,right,app,0,TRUE,fr,fiber tracts,app,fr_right
app_FRP_left,0.380279789,FRP,left,app,0.380279789,FALSE,Isocortex,Isocortex,app,FRP_left
app_FRP_right,0.508819614,FRP,right,app,0.508819614,FALSE,Isocortex,Isocortex,app,FRP_right
app_fx_left,0.532487415,fx,left,app,0.532487415,TRUE,fx,fiber tracts,app,fx_left
app_fx_right,0.508512682,fx,right,app,0.508512682,TRUE,fx,fiber tracts,app,fx_right
app_GU_left,1.043925098,GU,left,app,1,FALSE,GU,Isocortex,app,GU_left
app_GU_right,0.986558104,GU,right,app,0.986558104,FALSE,GU,Isocortex,app,GU_right
app_HATA_left,0.963172218,HATA,left,app,0.963172218,FALSE,HATA,HPF,app,HATA_left
app_HATA_right,1.048493741,HATA,right,app,1,FALSE,HATA,HPF,app,HATA_right
app_hbc_left,0.224992323,hbc,left,app,0.224992323,TRUE,hbc,fiber tracts,app,hbc_left
app_hbc_right,0.264171666,hbc,right,app,0.264171666,TRUE,hbc,fiber tracts,app,hbc_right
app_HPF_left,0.73289331,HPF,left,app,0.73289331,FALSE,HPF,HPF,app,HPF_left
app_HPF_right,0.590646025,HPF,right,app,0.590646025,FALSE,HPF,HPF,app,HPF_right
app_HY_left,0.568097372,HY,left,app,0.568097372,FALSE,HY,HY,app,HY_left
app_HY_right,0.518348003,HY,right,app,0.518348003,FALSE,HY,HY,app,HY_right
app_IA_left,1.000373905,IA,left,app,1,FALSE,IA,STR,app,IA_left
app_IA_right,0.914693703,IA,right,app,0.914693703,FALSE,IA,STR,app,IA_right
app_IC_left,0.686311235,IC,left,app,0.686311235,FALSE,IC,MB,app,IC_left
app_IC_right,0.621095946,IC,right,app,0.621095946,FALSE,IC,MB,app,IC_right
app_IF_left,0.340899245,IF,left,app,0.340899245,FALSE,IF,MB,app,IF_left
