uniqueID,preLimVal,region,hemi,mouse,treatment,postLimVal,removeRegion,parent,major,x,y
1152_mPFF_PERI_left,0.700302962,PERI,left,1152,mPFF,0.700302962,FALSE,PERI,Isocortex,1152_mPFF,PERI_left
1152_mPFF_PERI_right,0.337559954,PERI,right,1152,mPFF,0.337559954,FALSE,PERI,Isocortex,1152_mPFF,PERI_right
1152_mPFF_PG_left,-0.216636174,PG,left,1152,mPFF,0,FALSE,PG,P,1152_mPFF,PG_left
1152_mPFF_PG_right,0.002826894,PG,right,1152,mPFF,0.002826894,FALSE,PG,P,1152_mPFF,PG_right
1152_mPFF_PIR_left,-0.232233483,PIR,left,1152,mPFF,0,FALSE,PIR,OLF,1152_mPFF,PIR_left
1152_mPFF_PIR_right,0.303973505,PIR,right,1152,mPFF,0.303973505,FALSE,PIR,OLF,1152_mPFF,PIR_right
1152_mPFF_POST_left,0.442550538,POST,left,1152,mPFF,0.442550538,FALSE,POST,HPF,1152_mPFF,POST_left
1152_mPFF_POST_right,0.607612669,POST,right,1152,mPFF,0.607612669,FALSE,POST,HPF,1152_mPFF,POST_right
1152_mPFF_PO_left,0.555717007,PO,left,1152,mPFF,0.555717007,FALSE,PO,TH,1152_mPFF,PO_left
1152_mPFF_PO_right,0.654920125,PO,right,1152,mPFF,0.654920125,FALSE,PO,TH,1152_mPFF,PO_right
1152_mPFF_PPN_left,0.127802022,PPN,left,1152,mPFF,0.127802022,FALSE,PPN,MB,1152_mPFF,PPN_left
1152_mPFF_PPN_right,0.193339861,PPN,right,1152,mPFF,0.193339861,FALSE,PPN,MB,1152_mPFF,PPN_right
1152_mPFF_PRE_left,0.008575081,PRE,left,1152,mPFF,0.008575081,FALSE,PRE,HPF,1152_mPFF,PRE_left
1152_mPFF_PRE_right,0.499470826,PRE,right,1152,mPFF,0.499470826,FALSE,PRE,HPF,1152_mPFF,PRE_right
1152_mPFF_PRNr_left,0.079286691,PRNr,left,1152,mPFF,0.079286691,FALSE,PRNr,P,1152_mPFF,PRNr_left
1152_mPFF_PRNr_right,0.252564726,PRNr,right,1152,mPFF,0.252564726,FALSE,PRNr,P,1152_mPFF,PRNr_right
1152_mPFF_PR_left,0.269735726,PR,left,1152,mPFF,0.269735726,FALSE,PR,TH,1152_mPFF,PR_left
1152_mPFF_PR_right,-0.068417418,PR,right,1152,mPFF,0,FALSE,PR,TH,1152_mPFF,PR_right
1152_mPFF_PST_right,0.392602943,PST,right,1152,mPFF,0.392602943,FALSE,PST,HY,1152_mPFF,PST_right
1152_mPFF_PVT_left,-0.428462755,PVT,left,1152,mPFF,0,FALSE,PVT,TH,1152_mPFF,PVT_left
1152_mPFF_PVT_right,0.03234387,PVT,right,1152,mPFF,0.03234387,FALSE,PVT,TH,1152_mPFF,PVT_right
1152_mPFF_PVZ_left,-0.622962105,PVZ,left,1152,mPFF,0,FALSE,PVZ,HY,1152_mPFF,PVZ_left
1152_mPFF_PVZ_right,-0.348070015,PVZ,right,1152,mPFF,0,FALSE,PVZ,HY,1152_mPFF,PVZ_right
1152_mPFF_P_left,0.173598121,P,left,1152,mPFF,0.173598121,FALSE,P,P,1152_mPFF,P_left
1152_mPFF_P_right,-0.153233056,P,right,1152,mPFF,0,FALSE,P,P,1152_mPFF,P_right
1152_mPFF_Pa4_left,-0.219749455,Pa4,left,1152,mPFF,0,FALSE,Pa4,MB,1152_mPFF,Pa4_left
1152_mPFF_Pa4_right,0.844152229,Pa4,right,1152,mPFF,0.844152229,FALSE,Pa4,MB,1152_mPFF,Pa4_right
1152_mPFF_PeF_left,0.282704803,PeF,left,1152,mPFF,0.282704803,FALSE,PeF,HY,1152_mPFF,PeF_left
1152_mPFF_PeF_right,-1.675379,PeF,right,1152,mPFF,0,FALSE,PeF,HY,1152_mPFF,PeF_right
1152_mPFF_RE_left,0.071901325,RE,left,1152,mPFF,0.071901325,FALSE,RE,TH,1152_mPFF,RE_left
1152_mPFF_RE_right,0.003067968,RE,right,1152,mPFF,0.003067968,FALSE,RE,TH,1152_mPFF,RE_right
1152_mPFF_RH_left,0.117834113,RH,left,1152,mPFF,0.117834113,FALSE,RH,TH,1152_mPFF,RH_left
1152_mPFF_RH_right,0.799342342,RH,right,1152,mPFF,0.799342342,FALSE,RH,TH,1152_mPFF,RH_right
1152_mPFF_RSPagl_left,0.604610784,RSPagl,left,1152,mPFF,0.604610784,FALSE,RSP,Isocortex,1152_mPFF,RSPagl_left
1152_mPFF_RSPagl_right,0.714259244,RSPagl,right,1152,mPFF,0.714259244,FALSE,RSP,Isocortex,1152_mPFF,RSPagl_right
1152_mPFF_RSPd_left,0.630279621,RSPd,left,1152,mPFF,0.630279621,FALSE,RSP,Isocortex,1152_mPFF,RSPd_left
1152_mPFF_RSPd_right,0.708433192,RSPd,right,1152,mPFF,0.708433192,FALSE,RSP,Isocortex,1152_mPFF,RSPd_right
1152_mPFF_RSPv_left,0.710608367,RSPv,left,1152,mPFF,0.710608367,FALSE,RSP,Isocortex,1152_mPFF,RSPv_left
1152_mPFF_RSPv_right,0.800992818,RSPv,right,1152,mPFF,0.800992818,FALSE,RSP,Isocortex,1152_mPFF,RSPv_right
1152_mPFF_RT_left,0.302664992,RT,left,1152,mPFF,0.302664992,FALSE,RT,TH,1152_mPFF,RT_left
1152_mPFF_RT_right,0.716795309,RT,right,1152,mPFF,0.716795309,FALSE,RT,TH,1152_mPFF,RT_right
1152_mPFF_SAG_left,0.315669821,SAG,left,1152,mPFF,0.315669821,FALSE,SAG,MB,1152_mPFF,SAG_left
1152_mPFF_SAG_right,-0.582829541,SAG,right,1152,mPFF,0,FALSE,SAG,MB,1152_mPFF,SAG_right
1152_mPFF_SCm_left,0.390126313,SCm,left,1152,mPFF,0.390126313,FALSE,MBmot,MB,1152_mPFF,SCm_left
1152_mPFF_SCm_right,0.508555484,SCm,right,1152,mPFF,0.508555484,FALSE,MBmot,MB,1152_mPFF,SCm_right
1152_mPFF_SCs_left,0.457667157,SCs,left,1152,mPFF,0.457667157,FALSE,MBsen,MB,1152_mPFF,SCs_left
1152_mPFF_SCs_right,0.4177801,SCs,right,1152,mPFF,0.4177801,FALSE,MBsen,MB,1152_mPFF,SCs_right
1152_mPFF_SEZ_left,-0.858957994,SEZ,left,1152,mPFF,0,TRUE,SEZ,VS,1152_mPFF,SEZ_left
1152_mPFF_SEZ_right,-0.629684231,SEZ,right,1152,mPFF,0,TRUE,SEZ,VS,1152_mPFF,SEZ_right
1152_mPFF_SH_left,0.928384362,SH,left,1152,mPFF,0.928384362,FALSE,SH,STR,1152_mPFF,SH_left
1152_mPFF_SH_right,0.748410273,SH,right,1152,mPFF,0.748410273,FALSE,SH,STR,1152_mPFF,SH_right
1152_mPFF_SI_left,-0.500341816,SI,left,1152,mPFF,0,FALSE,SI,PAL,1152_mPFF,SI_left
1152_mPFF_SI_right,-0.368431454,SI,right,1152,mPFF,0,FALSE,SI,PAL,1152_mPFF,SI_right
1152_mPFF_SMT_left,0.380419085,SMT,left,1152,mPFF,0.380419085,FALSE,SMT,TH,1152_mPFF,SMT_left
1152_mPFF_SMT_right,0.540225767,SMT,right,1152,mPFF,0.540225767,FALSE,SMT,TH,1152_mPFF,SMT_right
1152_mPFF_SSp-bfd_left,0.363988321,SSp-bfd,left,1152,mPFF,0.363988321,FALSE,SSp,Isocortex,1152_mPFF,SSp-bfd_left
1152_mPFF_SSp-bfd_right,0.728195986,SSp-bfd,right,1152,mPFF,0.728195986,FALSE,SSp,Isocortex,1152_mPFF,SSp-bfd_right
1152_mPFF_SSp-m_left,0.343488616,SSp-m,left,1152,mPFF,0.343488616,FALSE,SSp,Isocortex,1152_mPFF,SSp-m_left
1152_mPFF_SSp-m_right,0.580652432,SSp-m,right,1152,mPFF,0.580652432,FALSE,SSp,Isocortex,1152_mPFF,SSp-m_right
1152_mPFF_SSp-tr_left,0.244321196,SSp-tr,left,1152,mPFF,0.244321196,FALSE,SSp,Isocortex,1152_mPFF,SSp-tr_left
1152_mPFF_SSp-ul_left,0.760155183,SSp-ul,left,1152,mPFF,0.760155183,FALSE,SSp,Isocortex,1152_mPFF,SSp-ul_left
