region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
cIMD,-0.9136571448170955,0.41041460830575566,0.0,1.0,0.0,1
cMD,-1.1028056121929144,0.6122270442213068,0.0,1.0,0.0,1
cSMT,-1.3936074484112637,0.5648915544941714,0.0,1.0,0.0,1
cPR,-1.5935869249365364,0.5316045603520969,0.0,1.0,0.0,1
cPVT,-0.8720653873584957,0.513420868651547,0.0,1.0,0.0,1
cRE,-1.5736233547186624,0.5241657556122524,0.0,1.0,0.0,1
cXi,-2.0303437635513384,0.3901184871192275,0.0,1.0,0.0,1
cRH,-0.0837654065101725,0.0889170217516035,0.0,1.0,0.0,1
cCM,-0.5651908205312237,0.3464382349295557,0.0,1.0,0.0,1
cPCN,-1.3554207549459316,0.5657683567942715,0.0,1.0,0.0,1
cCL,-0.9916956527899978,0.5517609398633949,0.0,1.0,0.0,1
cPF,-0.8062021971821728,0.5999678105312695,0.0,1.0,0.0,1
cPIL,-1.288751673050147,0.5612935150508939,0.0,1.0,0.0,1
cRT,-0.8134627829531703,0.6316451250566224,0.0,1.0,0.0,1
cIGL,-1.0421816473221357,0.5682070220344821,0.0,1.0,0.0,1
cIntG,-1.1381600768726348,0.5473339633089093,0.0,1.0,0.0,1
cLGv,-1.0907193719291122,0.5699092596390568,0.0,1.0,0.0,1
cSubG,-0.9145578177066332,0.5672105672472952,0.0,1.0,0.0,1
cMH,-1.166347732981922,0.543260559640983,0.0,1.0,0.0,1
cLH,-1.031877578268172,0.559582773409536,0.0,1.0,0.0,1
cPVH,-0.6373857635726274,0.6649171355909979,0.0,1.0,0.0,1
cARH,-0.8579645985568338,0.5684670312700061,0.0,1.0,0.0,1
cADP,-0.7582129618085314,0.6418341039563337,0.0,1.0,0.0,1
cAVP,-0.7547351733561918,0.6135435016385506,0.0,1.0,0.0,1
cAVPV,-0.777121668933964,0.626400008230339,0.0,1.0,0.0,1
cDMH,-0.7977377287634051,0.6007121488831655,0.0,1.0,0.0,1
cMEPO,-1.008738116433383,0.5925355371081203,0.0,1.0,0.0,1
cMPO,-0.6521029258740195,0.6558264771937184,0.0,1.0,0.0,1
cPS,-0.716879727797894,0.6170175788663949,0.0,1.0,0.0,1
cVLPO,-0.7292879856342778,0.6500498592783845,0.0,1.0,0.0,1
cAHN,-0.6023556477782664,0.6602159515489373,0.0,1.0,0.0,1
cLM,-0.8515825428563414,0.5876626851650607,0.0,1.0,0.0,1
cMM,-0.7540200481852533,0.6159924402344996,0.0,1.0,0.0,1
cSUM,-0.7122592320802594,0.588649814680466,0.0,1.0,0.0,1
cTM,-0.6305636480654861,0.6245061472949832,0.0,1.0,0.0,1
cMPN,-0.6320303045214303,0.6762401444070658,0.0,1.0,0.0,1
cPMd,-0.7195331243528534,0.6481984820009007,0.0,1.0,0.0,1
cPMv,-0.7215833882725349,0.6175223159514424,0.0,1.0,0.0,1
cVMH,-0.792304843695053,0.6483554560470897,0.0,1.0,0.0,1
cPH,-0.5803674507044421,0.6672349622618587,0.0,1.0,0.0,1
cLHA,-0.45448678813978766,0.7256941823619265,0.0,1.0,9.375583665835725e-198,1
cLPO,-0.7031659357122731,0.6508574905959669,0.0,1.0,0.0,1
cPST,-0.8399632160542106,0.6020690272931188,0.0,1.0,0.0,1
