region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iPF,0.08117880681215371,0.05953878805698326,0.07978845608028654,0.060281027498908714,0.06549949918535151,0
iPIL,0.07950265397589527,0.05922669790277608,0.07978845608028654,0.060281027498908714,0.2514573296073558,0
iRT,0.08082117491291507,0.06177948121122978,0.07978845608028654,0.060281027498908714,0.24605070714404587,0
iIGL,0.07984118645363364,0.05924972727056057,0.07978845608028654,0.060281027498908714,0.3345008206255461,0
iIntG,0.08088219503772265,0.0626618425975147,0.07978845608028654,0.060281027498908714,0.3532598890871218,0
iLGv,0.07960682043334655,0.06058817334538704,0.07978845608028654,0.060281027498908714,0.8533737223681831,0
iSubG,0.08116771531812757,0.05989198804542005,0.07978845608028654,0.060281027498908714,0.034593105506605146,0
iMH,0.07868217659966266,0.06081585090961498,0.07978845608028654,0.060281027498908714,0.3054263322163986,0
iLH,0.08144116780838885,0.060180947227511786,0.07978845608028654,0.060281027498908714,0.001228285480021263,0
iPVH,0.07814182163195514,0.06088001302729115,0.07978845608028654,0.060281027498908714,0.061285437655455986,0
iARH,0.07988851054926371,0.06117293636680133,0.07978845608028654,0.060281027498908714,0.6498614773117972,0
iADP,0.07927916995183827,0.05902630510447684,0.07978845608028654,0.060281027498908714,0.7714453962675278,0
iAVP,0.081335930267593,0.059743750181235,0.07978845608028654,0.060281027498908714,0.04909981497587461,0
iAVPV,0.0793975695664745,0.060199426097102424,0.07978845608028654,0.060281027498908714,0.24150005411967768,0
iDMH,0.0771418329781842,0.057973754992568884,0.07978845608028654,0.060281027498908714,0.05660159653004486,0
iMEPO,0.08097603997645264,0.060338323485774115,0.07978845608028654,0.060281027498908714,0.06457374823962149,0
iMPO,0.07879257472505566,0.059560480186667326,0.07978845608028654,0.060281027498908714,0.16282709286636668,0
iPS,0.08060180815914558,0.06151222315489286,0.07978845608028654,0.060281027498908714,0.7511268749961371,0
iVLPO,0.08241988080267157,0.06260484248872678,0.07978845608028654,0.060281027498908714,0.015833342323043172,0
iAHN,0.07963028196536871,0.06393253522233545,0.07978845608028654,0.060281027498908714,0.002700265447829753,0
iLM,0.07821628163861233,0.06002546101878634,0.07978845608028654,0.060281027498908714,0.24076742096586384,0
iMM,0.08094898393347293,0.0597207853212725,0.07978845608028654,0.060281027498908714,0.0673356562421523,0
iSUM,0.08079772278728782,0.06049553950405772,0.07978845608028654,0.060281027498908714,0.23714994500108236,0
iTM,0.07852111672200375,0.060455569449009885,0.07978845608028654,0.060281027498908714,0.027586616406669175,0
iMPN,0.07962197964725516,0.0602900915220895,0.07978845608028654,0.060281027498908714,0.6902370515025767,0
iPMd,0.08231271786146115,0.060663818710977535,0.07978845608028654,0.060281027498908714,0.01879107015020701,0
iPMv,0.07606629631605312,0.06079069109188733,0.07978845608028654,0.060281027498908714,2.8495267123505293e-7,1
iVMH,0.081415007429684,0.05862076235002905,0.07978845608028654,0.060281027498908714,0.02521451299508444,0
iPH,0.0789827430833847,0.0591452733457572,0.07978845608028654,0.060281027498908714,0.4108727198662846,0
iLHA,0.07728379863188732,0.058000372226338956,0.07978845608028654,0.060281027498908714,0.042701931850185386,0
