gene,r mean,r variance,pval mean,pval variance,portion
Plac8l1,-0.1933544480425381,0.002716828354110367,0.06548190148742833,0.004124379950382073,0.0
Plag1,-0.18323422311492804,0.002110606575153693,0.07300723333463413,0.002858166708852977,0.0
Plagl1,-0.10055108755134642,0.00035256522136044066,0.2976703004685412,0.007935037299257937,0.0
Plagl2,-0.11058410089483979,0.002104332711989258,0.2907868861076219,0.03680657266160497,0.0
Plat,-0.21711797727211354,0.0025316569010430546,0.03893973172672031,0.0019339479592660896,0.0
Plau,-0.17501315016876193,0.0014843641764439798,0.08345249471431267,0.004134988970262237,0.0
Plaur,-0.21155944666519377,0.0019807152636157014,0.03969925698420139,0.0015636146142519976,0.0
Plb1,-0.2163618074092553,0.0034728983091915177,0.049200426666638694,0.006635764691496008,0.0
Plbd1,-0.2515823713926335,0.0026453644507457657,0.01990678187288934,0.0011940652607421607,0.0
Plbd2,0.19968912351883292,0.001565932789345058,0.04515494759885734,0.0009578811721138482,0.0
Plcb1,-0.25826812673284943,0.00288409433584085,0.018620721159290393,0.001538042464768336,0.0
Plcb2,-0.11261482002348078,0.0015799853977351104,0.2704619436717601,0.03723722944752744,0.0
Plcb3,-0.1650387105919136,0.0032667962381635026,0.12431338855308968,0.011712852166213438,0.0
Plcb4,0.33626679002002396,0.005728027404708085,0.0030456405692565443,3.739371621391991e-5,0.2
Plcd1,-0.2160411465998185,0.003059875558854736,0.043879297067867175,0.0036142507630963217,0.0
Plcd3,-0.28342019928818385,0.003055848934160681,0.00912174874248137,0.00031503895006944755,0.0
Plcd4,-0.1619768784922863,0.0009725178246796439,0.10263806550616458,0.004953019322201735,0.0
Plce1,-0.19774741684967417,0.0033846834838807895,0.06779288203814346,0.005694747652701614,0.0
Plcg1,0.13145155274204806,0.0022346199152570136,0.20459009055171537,0.014705713610541078,0.0
Plcg2,-0.2994327945980932,0.0024200131077143513,0.003856134726110975,3.8252140103189195e-5,0.0
Plch1,-0.04063442447809643,0.0013789713814224523,0.6162766942138934,0.028026953450035585,0.0
Plch2,0.13932907546835813,0.0023242831298704207,0.18962337714651384,0.039563668522249226,0.0
Plcl1,0.25050867132456583,0.0027960544205472963,0.0167142496956555,0.00050654541858649,0.0
Plcl2,-0.15845791083205082,0.00325284110577003,0.15047326701932748,0.02824013263904836,0.0
Plcxd1,-0.32145971283115127,0.0033279833575916165,0.0024735734150195393,1.029820872696283e-5,0.0
Plcxd2,0.09103919945700595,0.0032093513948732943,0.40640427130076606,0.06818291473697535,0.0
Plcxd3,-0.08571456896840166,0.0004726321970066245,0.3775147658366708,0.017272259740838177,0.0
Plcz1,-0.2750517656646349,0.0022509488980563303,0.005916395028567209,2.4264783134762205e-5,0.0
Pld1,-0.1559558759761087,0.002763667129777171,0.13730035307974073,0.008052282723046802,0.0
Pld2,-0.2826421191804813,0.001816557464399719,0.005598426993926146,5.5090312577161e-5,0.0
Pld3,-0.3891993290792482,0.0032404379831839723,0.0003580344704559453,8.554965443858819e-7,0.1
Pld4,-0.1448246378741392,0.002527636980779706,0.17311404985990259,0.020732917884823603,0.0
Pld5,-0.09976973371237338,0.0019875869925251614,0.3363656525525451,0.05920734304631528,0.0
Pld6,-0.25424868979479603,0.0013473543246700188,0.010855309670662271,0.00011580602491538013,0.0
Plec,-0.07277839482537125,0.002778145327963101,0.4719965610352116,0.08439362758448528,0.0
Plek,-0.17673893133149915,0.002223356854302623,0.0907243182273916,0.007288697466599133,0.0
Plek2,-0.21836790841495443,0.0025066750519862897,0.041533103655899226,0.0047653412707456995,0.0
Plekha1,0.03738035651638366,0.0008455596003745941,0.6888668657999455,0.04056765796499703,0.0
Plekha2,-0.28112722622360825,0.0026867456837923794,0.008197124902580687,0.00017782943461264392,0.0
Plekha3,-0.013917799136897339,0.0039149679434870325,0.6279268207941062,0.0684983641690757,0.0
Plekha4,-0.14327125694843051,0.0005822594891157971,0.14100954571081065,0.0038797701723534716,0.0
Plekha5,0.09438633460609624,0.0015763492602061885,0.3559415114323531,0.04738256123210849,0.0
Plekha6,0.23510391958954308,0.0017691097919829632,0.020754304947004622,0.0005151814102404997,0.0
Plekha7,0.11939277883388469,0.00350665198499012,0.2802572984941081,0.05197397210983376,0.0
Plekha8,0.005912566104728438,0.0028155820111433593,0.6594221897505415,0.04009489725347263,0.0
Plekhb1,0.12188920271594864,0.004022706255055757,0.28126840457541824,0.05711907865211893,0.0
Plekhd1,0.27370424074901833,0.002732319214734635,0.008233101465099908,9.892206217603453e-5,0.0
Plekhf1,-0.2231940227367654,0.002340758085721002,0.03322611900765536,0.001572866896433068,0.0
Plekhf2,-0.24965806429891874,0.0027872803901483494,0.017776955204269244,0.0005590420618339188,0.0
Plekhg1,0.3352242174228423,0.0013038463912642072,0.0005782191854904614,4.370400570197198e-7,0.0
Plekhg2,-0.27521653031763155,0.0025019589933101263,0.008249749326230491,0.0001521719573954249,0.0
Plekhg3,-0.24367526423426972,0.0011298720858209546,0.01444024605503529,0.0002633402717291403,0.0
Plekhg4,-0.18722590345994156,0.0019554430986181044,0.070876880357685,0.005658522985255073,0.0
Plekhg5,-0.39833772716350196,0.003470673154795342,0.0003590157125459541,1.0342249460070345e-6,0.4
Plekhg6,-0.2081966407525908,0.004305841226917439,0.06025442391063529,0.004345153799438713,0.0
Plekhh1,0.22472408107156613,0.003972605353747298,0.04085342239949873,0.0031051628249929774,0.0
Plekhh3,-0.13063224899495637,0.0015441015243055779,0.1975256730868532,0.012991663076307568,0.0
Plekhj1,0.18011184588415366,0.0007597928537423878,0.06556973654124017,0.0016123683239314015,0.0
Plekhm1,0.17510749709051288,0.001141360714366963,0.07928123980689973,0.0038491890664629808,0.0
Plekhm2,0.24988056361243713,0.003551985264228308,0.01782880649544439,0.00031317566550937136,0.0
Plekhm3,-0.1898974514755563,0.0006268900669115928,0.051267875665157156,0.0012970442693512035,0.0
Plekhn1,-0.048886463909991004,0.002334213844711759,0.5831542699870351,0.07632015789910428,0.0
Plekho1,-0.19967752761988694,0.0015708257757278121,0.051425754364346765,0.003629923191738199,0.0
Plekho2,-0.2291438177406085,0.0016060530992015102,0.023506879627010934,0.0006188709147540044,0.0
Plekhs1,-0.2431064359297955,0.002225321986873021,0.01764631936745249,0.00036624647108505793,0.0
Plet1,-0.2047422921663875,0.0021865303141529136,0.050276180302278595,0.0046924698896740275,0.0
Plg,-0.27640505688259925,0.0012112793603836173,0.005039499744997488,2.2555938952887836e-5,0.0
Plgrkt,-0.0651731060506092,0.003142819594155415,0.48679816741641924,0.06662821426787173,0.0
Plin1,-0.27060930178230624,0.0022369958081694757,0.0068810353049426525,3.2080911090951596e-5,0.0
Plin2,-0.21399765240568874,0.0011080853298073732,0.03058454910066597,0.0005407486193212914,0.0
Plin3,-0.1683174883418504,0.0017178703029660381,0.10437127072269045,0.012911642473755175,0.0
Plin5,-0.25092434296633204,0.004671166135297822,0.025553797102139626,0.0021884028264095466,0.0
Plk1,-0.27306083669810666,0.0028325404455946945,0.008996174859025282,0.00011030797293389983,0.0
Plk2,-0.31083877772447693,0.004168862788110185,0.00931434303063628,0.0007195422553007462,0.0
Plk3,-0.2733594563236572,0.0038315412775545335,0.01259455333956808,0.000376308661103196,0.0
Plk4,-0.20554278780066076,0.0009591508200366386,0.036240620304705165,0.000525788946303015,0.0
Plk5,-0.2479946535472098,0.0015259586873292283,0.015007049604168812,0.0005116453556826665,0.0
Pllp,0.12764578953898273,0.005080567118662149,0.27632558423209197,0.07551212173456896,0.0
Pln,-0.19615034635767498,0.0018020107124482267,0.055023938458276314,0.0028116599816447297,0.0
Plod1,0.11819370838296461,0.0067101776399280996,0.3347120808743044,0.09715999859226976,0.0
Plod2,-0.20816060882659843,0.005553592239663326,0.06842955099216155,0.0065068711881023245,0.0
Plod3,0.017367525137132113,0.0009364423150163682,0.7672867459305557,0.02296445336132267,0.0
Plp1,0.29610253416528687,0.004799662323324908,0.005982054646817689,7.585424634669473e-5,0.1
Plp2,-0.23853396284891965,0.002642854860404696,0.02000752852104304,0.0002998284372930356,0.0
Plpbp,0.029050000939013353,0.0014654414483201807,0.6988614525049897,0.03682996265844346,0.0
Plpp2,-0.23899555768511682,0.0047442699476044434,0.03252460906724344,0.0018280358047204116,0.0
