Label,r
Cltrn,-0.44126114901232794
Ccrl2,-0.4730194429071737
Fxr1,0.4822116462073509
Lamp1,0.4734459725727168
Cd180,-0.43716707246177083
Kif3a,0.4595033334908383
Sytl5,-0.43495326352275665
Bmf,-0.4447684845413985
Apobr,-0.4631714485279477
Stmnd1,-0.4304956952210617
Efcab9,-0.437345539932929
Cldn34d,-0.4305163151433919
Zmat1,-0.43903603224271853
Rmnd5b,-0.4494693353156146
Cyp7b1,-0.44731575849367855
Olfr151,-0.43249097542632453
Prol1,-0.44602377530793136
Trp53rka,-0.45641532345449537
Aadacl2,-0.4487089881386662
Ctsll3,-0.42852651055993
Sqor,-0.4335098913837532
1700014D04Rik,-0.42716732060920504
Ccdc83,-0.43149325441648656
Tmem50b,0.4520807055772478
Slc16a2,-0.43982630034510084
Tmem123,-0.45542634569472756
Tmem150c,0.44343514768508274
Rufy4,-0.44400498833587937
Gstm3,-0.43580481135618454
Hoga1,-0.4264366207523301
Niban3,-0.4348906831599425
C3ar1,-0.4337770580732123
Gprasp1,0.4778417555703093
Vmn1r72,-0.43504860658252736
Serpina1a,-0.4318757832633304
Dspp,-0.42728340109589674
Itprip,-0.4329062647302153
Il22ra2,-0.43607627367031865
LOC118567641,-0.4750879189484998
Rpn2,0.46650940579384215
Lcn15,-0.44768117626929627
Tnfaip8l3,-0.4303964938480605
Psors1c2,-0.45601276290822446
9330182O14Rik,-0.4462007183900009
Olfr1121,-0.45335709968840704
Spata13,-0.4357122803870084
Car5b,-0.43755510311807494
4931422A03Rik,-0.435225482434637
Krtap9-5,-0.4623558071421894
Mtmr4,0.4467938958417816
Syt9,0.44024357545158893
Cd200r3,-0.4388629221201177
Cgas,-0.4294419902304705
Olfr221,-0.43522980227206354
Vmn1r89,-0.4381542124963225
Cpne8,-0.426909890128894
Cmc4,-0.4480028757806691
Atp6v0a1,0.4638493020597554
Phtf2,-0.43085582477503614
AU015836,-0.43685938249135114
Gm1096,-0.42791926261969565
Bin2,-0.4394778831922298
Olfr772,-0.4571176573031952
Adam15,0.42853020224291455
Mettl21a,-0.43271507520831554
Slc45a3,-0.43577221821136164
Scgb2b3,-0.45347454227280815
Prss32,-0.45956166768682627
1700008O03Rik,-0.4306516312364953
a,-0.44914148478294
Isl2,-0.44546722841841196
Phex,-0.43826418340635637
Tlr9,-0.43183547546636386
Fam205c,-0.43007441161982635
Nt5m,0.4398169835325749
