gene,r,portion
Alkal2,-0.4657339059128169,0.001
Plekhg2,-0.42652785930735493,0.001
Podnl1,-0.4303540901123411,0.001
Wt1,-0.4520598425269393,0.001
Kcnab2,0.43249947675518957,0.001
Pawr,-0.4553208945170682,0.001
B4galt6,0.45552285833159745,0.001
Tldc2,-0.4383191939662815,0.001
Casr,-0.4309584285562559,0.001
Ptpn14,-0.44016766531923857,0.001
Olfr1508,-0.44981303490054275,0.001
C1qb,-0.42746624452288223,0.001
Trib1,-0.4578844800466295,0.001
Insl6,-0.4316151481935976,0.001
Gm16434,-0.43128437138194137,0.001
Cacna1f,-0.4287787698236656,0.001
Abcg2,-0.44728490990794983,0.001
